name,population,longitude,latitude,flaeche,region
"Moers, Stadt",101503,6.628027,51.453559,67.64,Niederrhein
"Gütersloh, Stadt",100479,8.375587,51.907302,112.02,Teutoburger Wald
"Kaiserslautern, Stadt",100426,7.768864,49.445456,139.7,Pfalz
"Hildesheim, Stadt",98510,9.948181,52.150623,92.29,Hannover-Hildesheim
"Schwerin, Landeshauptstadt",98308,11.414434,53.628545,130.52,Westmecklenburg
"Hanau, Brüder-Grimm-Stadt",97956,8.915189,50.135573,76.28,Spessart-Kinzigtal-Vogelsberg
"Flensburg, Stadt",96326,9.43751,54.78252,56.73,Ostsee
"Esslingen am Neckar, Stadt",96182,9.309565,48.741347,46.43,Region Stuttgart
"Gera, Stadt",95608,12.080429,50.876147,152.18,Thüringer Vogtland
"Cottbus/Chóśebuz, Stadt",95123,14.335117,51.759345,165.61,Spreewald
"Düren, Stadt",94568,6.482964,50.801678,85.01,Eifel und Region Aachen
"Ludwigsburg, Stadt",92858,9.190393,48.896233,43.34,Region Stuttgart
"Tübingen, Universitätsstadt",92322,9.054572,48.520863,108.07,Schwäbische Alb
"Iserlohn, Stadt",91811,7.699212,51.374541,125.49,Sauerland
"Witten, Stadt",91808,7.337177,51.438718,72.4,Ruhrgebiet
"Villingen-Schwenningen, Stadt",89756,8.459649,48.058255,165.53,Mittlerer Schwarzwald
"Ratingen, Stadt",89368,6.849646,51.297037,88.74,Düsseldorf und Kreis Mettmann
"Gießen, Universitätsstadt",89179,8.674877,50.586195,72.61,Lahn-Dill
"Zwickau, Stadt, Hochschulstadt",87410,12.495641,50.718556,102.58,Chemnitz Zwickau Region
"Konstanz, Universitätsstadt",86919,9.175957,47.662757,54.12,Bodensee
"Marl, Stadt",86766,7.101811,51.658211,87.76,Ruhrgebiet
"Worms, Stadt",86753,8.361704,49.629828,108.73,Rheinhessen
"Lünen, Stadt",86163,7.523533,51.614327,59.39,Ruhrgebiet
"Minden, Stadt",84013,8.914559,52.288271,101.12,Teutoburger Wald
"Norderstedt, Stadt",82844,9.996943,53.706115,58.1,übrig. Schleswig-Holstein
"Velbert, Stadt",82463,7.041629,51.340048,74.9,Düsseldorf und Kreis Mettmann
"Delmenhorst, Stadt",81406,8.630108,53.049883,62.45,Oldenburger Land
"Neumünster, Stadt",79809,9.988422,54.069895,71.66,übrig. Schleswig-Holstein
"Viersen, Stadt",78373,6.389226,51.256856,91.1,Niederrhein
"Rheine, Stadt",77209,7.438651,52.279214,145.0,Münsterland
Bamberg,77150,10.886786,49.893387,54.62,Steigerwald
"Troisdorf, Stadt",75901,7.162309,50.812544,62.0,Bonn und Rhein-Sieg-Kreis
"Wilhelmshaven, Stadt",75745,8.111156,53.520302,107.11,Nordseeküste
"Gladbeck, Stadt",75499,6.992723,51.573424,35.97,Ruhrgebiet
"Dessau-Roßlau, Stadt",75402,12.245715,51.834703,245.78,Anhalt-Wittenberg
"Dorsten, Stadt",75277,6.964689,51.660837,171.2,Ruhrgebiet
"Arnsberg, Stadt",74879,8.064801,51.395795,193.72,Sauerland
"Lüneburg, Hansestadt",74785,10.408793,53.249157,70.5,Lüneburger Heide
"Detmold, Stadt",74278,8.878641,51.935357,129.39,Teutoburger Wald
"Brandenburg an der Havel, Stadt",74113,12.563364,52.408651,229.73,Havelland
"Marburg, Universitätsstadt",73544,8.769147,50.809004,123.91,Marburg-Biedenkopf
"Castrop-Rauxel, Stadt",73282,7.310311,51.548997,51.68,Ruhrgebiet
"Bocholt, Stadt",73257,6.61564,51.837931,119.41,Münsterland
Aschaffenburg,73091,9.147832,49.973506,62.45,Spessart-Mainland
Bayreuth,72940,11.575301,49.943752,66.89,Fichtelgebirge
Landshut,71863,12.152143,48.536978,65.83,Bayerisches Thermenland
"Lüdenscheid, Stadt",71212,7.63358,51.21582,87.02,Sauerland
"Lippstadt, Stadt",68739,8.346206,51.674054,113.68,Sauerland
Kempten (Allgäu),67645,10.317823,47.724016,63.28,Allgäu
"Aalen, Stadt",67621,10.092337,48.835057,146.58,Schwäbische Alb
"Herford, Hansestadt",67503,8.673516,52.115598,79.15,Teutoburger Wald
"Neuwied, Stadt",67083,7.459692,50.429018,86.5,Mittelrheintal
"Dinslaken, Stadt",66993,6.734967,51.562266,47.66,Niederrhein
"Celle, Stadt",66834,10.08067,52.626307,176.02,Lüneburger Heide
"Kerpen, Kolpingstadt",66585,6.694948,50.869982,113.96,Köln und Rhein-Erft-Kreis
"Grevenbroich, Stadt",65983,6.583331,51.091192,102.52,Niederrhein
"Weimar, Stadt",65954,11.329741,50.980761,84.47,Weimar
"Rüsselsheim am Main, Stadt",65627,8.411404,49.994936,58.29,Odenwald-Bergstrasse-Neckartal
"Plauen, Stadt, Hochschulstadt",65599,12.135285,50.496039,102.11,Vogtland
"Fulda, Stadt",65434,9.675061,50.55323,104.05,Rhön
Rosenheim,65274,12.128932,47.856358,37.22,Chiemsee-Alpenland
"Schwäbisch Gmünd, Stadt",64416,9.796508,48.802384,113.81,Schwäbische Alb
"Dormagen, Stadt",63799,6.841963,51.093432,85.5,Niederrhein
"Offenburg, Stadt",62993,7.944214,48.469474,78.37,Mittlerer Schwarzwald
"Friedrichshafen, Stadt",62796,9.479614,47.652205,69.93,Bodensee
"Neu-Ulm, GKSt",62641,9.998683,48.392999,80.95,Bayerisch-Schwaben
"Hürth, Stadt",62160,6.856696,50.874348,51.22,Köln und Rhein-Erft-Kreis
"Bergheim, Stadt",61611,6.640252,50.955113,96.34,Köln und Rhein-Erft-Kreis
"Sindelfingen, Stadt",61422,9.002211,48.709831,50.83,Region Stuttgart
"Herten, Stadt",60941,7.140236,51.59465,37.33,Ruhrgebiet
"Wesel, Stadt",60785,6.617306,51.65733,122.56,Niederrhein
"Neubrandenburg, Vier-Tore-Stadt",60344,13.25996,53.557345,86.12,Mecklenburgische Schweiz und Seenplatte
"Euskirchen, Stadt",60021,6.786098,50.660933,139.49,Eifel und Region Aachen
"Langenfeld (Rheinland), Stadt",59975,6.948927,51.107416,41.15,Düsseldorf und Kreis Mettmann
"Garbsen, Stadt",59903,9.600191,52.426344,79.49,Hannover-Hildesheim
"Göppingen, Stadt",58937,9.653964,48.703267,59.21,Region Stuttgart
"Unna, Stadt",58333,7.689932,51.534878,88.56,Ruhrgebiet
"Hameln, Stadt",58244,9.356316,52.104402,102.53,Weserbergland
"Stolberg (Rhld.), Kupferstadt",57684,6.223585,50.776783,98.48,Eifel und Region Aachen
"Eschweiler, Stadt",57534,6.266781,50.817431,75.75,Eifel und Region Aachen
"Waiblingen, Stadt",57313,9.314525,48.83001,42.75,Region Stuttgart
"Frankfurt (Oder), Stadt",57107,14.551151,52.344651,147.85,Seenland Oder-Spree
"Meerbusch, Stadt",57078,6.688437,51.265845,64.4,Niederrhein
"Nordhorn, Stadt",56973,7.071263,52.435804,149.86,Grafschaft Bentheim-Emsland-Osnabrücker Land
"Baden-Baden, Stadt",56881,8.239951,48.761794,140.19,Nördlicher Schwarzwald
"Bad Homburg v. d. Höhe, Stadt",56688,8.61299,50.228406,51.14,Main und Taunus
"Sankt Augustin, Stadt",56521,7.185259,50.77333,34.22,Bonn und Rhein-Sieg-Kreis
"Lingen (Ems), Stadt",56498,7.316682,52.522295,176.19,Grafschaft Bentheim-Emsland-Osnabrücker Land
"Pulheim, Stadt",56150,6.800707,50.998416,72.15,Köln und Rhein-Erft-Kreis
"Greifswald, Universitäts- und Hansestadt",56092,13.379627,54.09581,50.81,Vorpommern
"Görlitz, Stadt, Hochschulstadt",55186,14.988035,51.155287,67.53,Oberlausitz/Niederschlesien
"Hilden, Stadt",55157,6.933705,51.168245,25.95,Düsseldorf und Kreis Mettmann
"Wetzlar, Stadt",54665,8.501069,50.554439,75.65,Lahn-Dill
Schweinfurt,54481,10.230301,50.045505,35.7,Fränkisches Weinland
"Bad Kreuznach, Stadt",54168,7.861839,49.844515,55.56,Naheland
"Langenhagen, Stadt",54142,9.734278,52.438469,71.97,Hannover-Hildesheim
"Stralsund, Hansestadt",54094,13.089973,54.313975,54.59,Vorpommern
"Bad Salzuflen, Stadt",53958,8.741876,52.084998,100.05,Teutoburger Wald
"Hattingen, Stadt",53044,7.184107,51.399035,71.67,Ruhrgebiet
Passau,53039,13.458449,48.572926,69.56,Bayerisches Thermenland
"Kleve, Stadt",53028,6.138858,51.787781,97.76,Niederrhein
"Neustadt an der Weinstraße, Stadt",52945,8.140755,49.351983,117.09,Pfalz
"Ahlen, Stadt",52666,7.889882,51.762985,123.13,Münsterland
"Wolfenbüttel, Stadt",52604,10.536202,52.163491,78.74,Braunschweiger Land
"Frechen, Stadt",52309,6.813419,50.908398,45.06,Köln und Rhein-Erft-Kreis
"Menden (Sauerland), Stadt",52255,7.795344,51.439281,86.1,Sauerland
"Ibbenbüren, Stadt",51803,7.714734,52.275364,108.87,Münsterland
"Böblingen, Stadt",51483,9.009663,48.685296,39.04,Region Stuttgart
"Lörrach, Stadt",51349,7.659191,47.612096,39.37,Südlicher Schwarzwald
"Elmshorn, Stadt",51342,9.655259,53.754958,21.36,übrig. Schleswig-Holstein
"Gummersbach, Stadt",51290,7.568149,51.028326,95.41,Bergisches Land
"Peine, Stadt",50987,10.227076,52.321764,119.84,Braunschweiger Land
"Lahr/Schwarzwald, Stadt",50775,7.874292,48.339132,69.84,Mittlerer Schwarzwald
"Rastatt, Stadt",50741,8.202529,48.857703,58.98,Nördlicher Schwarzwald
"Ravensburg, Stadt",50628,9.615089,47.78366,92.05,Oberschwaben-Allgäu
"Bad Oeynhausen, Stadt",50620,8.805514,52.205258,64.83,Teutoburger Wald
"Heidenheim an der Brenz, Stadt",50618,10.154639,48.677736,107.09,Schwäbische Alb
"Gronau (Westf.), Stadt",50547,7.019103,52.212285,78.82,Münsterland
"Cuxhaven, Stadt",49697,8.69747,53.864463,161.93,Nordseeküste
"Speyer, Stadt",49564,8.436572,49.316172,42.71,Pfalz
"Leonberg, Stadt",49480,9.016776,48.800497,48.73,Region Stuttgart
"Willich, Stadt",49413,6.547787,51.262051,67.8,Niederrhein
"Emden, Stadt",49202,7.205946,53.370558,112.34,Nordseeküste
"Bergkamen, Stadt",49143,7.643344,51.615888,44.9,Ruhrgebiet
"Oranienburg, Stadt",49122,13.236623,52.754051,163.69,Ruppiner Seenland
Straubing,49002,12.56951,48.881802,67.59,Bayerisches Thermenland
"Freising, GKSt",48928,11.748361,48.403627,88.59,Münchener Umland
"Alsdorf, Stadt",48810,6.161607,50.874052,31.68,Eifel und Region Aachen
"Erftstadt, Stadt",48772,6.811853,50.812197,119.89,Köln und Rhein-Erft-Kreis
"Stade, Hansestadt",48633,9.475977,53.601302,110.07,Unterelbe-Unterweser
"Herzogenrath, Stadt",48574,6.089184,50.865711,33.38,Eifel und Region Aachen
"Landau in der Pfalz, Stadt",48209,8.112414,49.196595,82.94,Pfalz
"Bornheim, Stadt",48203,6.990342,50.762547,82.69,Bonn und Rhein-Sieg-Kreis
"Hennef (Sieg), Stadt",48188,7.282575,50.775911,105.89,Bonn und Rhein-Sieg-Kreis
"Frankenthal (Pfalz), Stadt",48140,8.354282,49.535556,43.88,Pfalz
"Rheda-Wiedenbrück, Stadt",48030,8.293327,51.855343,86.72,Teutoburger Wald
"Dülmen, Stadt",47989,7.279146,51.828537,184.83,Münsterland
